name,viaf,wiki,pages
Beveridge John,65413236,Q21524411,291-2
Beza Theodorus,66463755,Q314981,"127,133,135,137,175"
Bezdechi Stephanus,,,226
Bidermannus Jacobus,29576425,Q71316,"186,187,188"
Bielke J.,,,273
"Billy, Jacques de",,,140
Biondo: see Blondus.,,,
Biörnonis (Björnsson) Thorstenius,303152138582310977536,,269-70
Birck: see Betulius.,,,
"Bisconis, Andreotta de",,,101
Bisselius Johannes,14939863,Q1697264,"183,285"
Bizarrus Petrus,,,61
Blanchus (Bardhi) Francus,,,90
"Blarrorivo (Blarru), Petrus de",,,138
Blaskovits A.,,,217
Blesus: see Lebègue J.,,,
Blondel Maurice,,,127
Blondus (Biondo) Flavius,,Q434834,"45,57,80,121,149"
Blosius Palladius,,,74
Blutherus Gunno,272827931,,277
Boccaccio Giovanni,64002165,Q1402,"9,21,28,29,45,56,80,87,127,151,266"
Boccius (= Tragus) Anselmus,,,258-9
Bodinus Johannes,,Q190944,"30,127,133,140,312"
Bocce (Boethius) Henry,,,168
Böhm E.,,,324
Böhm Gulielmus,,,193
Boerhaave Henricus,,,155
Boethius,100218964,Q102851,5
Boethius de Dacia,173201157,,223
Boetius Matthias,,,266
Bogdan Bakchev P.: see Deodatus Petrus.,,,
Bohoric Adam,90637228,Q348832,97
Boiardo Matteo,,Q319557,58
Bojeris Laurentius,64424977,Q12662612,244
Boissard J.J.,14879685,Q714988,137
Bolaños Josè Maria,,,301
Bolyai Farkas,,,217
Bolyai Janus,,,217
Bonamicus Castruccius,120155505,Q2941531,66
Bonamicus Philippus Maria,57451362,Q3071874,66
(Pseudo-)Bonaventura,,,"23,24"
Bondin Gakbu,,,101
"Bonfinis, Antonius de",4989656,Q266482,215
Bonis: see Johannes de Bonis.,,,
Bonnefonius Johannes,,,"135,152"
Bonomus Petrus,,,96
"Bonstetten, Albrecht von",,,"206,209"
Bonus (Buniό) Johannes,,,94
Borbonius (Bourbon) Nicolaus,,,135
Borgo Pietro,39362533,Q23806333,276
Born Fredericus G.,52474966,Q100620,191
Bornmann Christianus,170580191,Q54506668,260
Borovskij Jacobus M.,248964111,Q692307,257
Borrichius Olaus,,,"267,273"
Borup Martinus,308759482,Q12327660,263
Boscovicius Rogerius,,Q310757,"94,99"
Bourbon: see Borbonius.,,,
Bourne Vincentius,,,"167,175"
